episode,epsilon,average_cumulative_reward
0,0.05,37.06819086167202
1,0.05,-6.724051915612437
2,0.05,1.000409467084493
3,0.05,13.755406105125005
4,0.05,24.079266910566762
5,0.05,19.368753549721944
6,0.05,35.94981650718079
7,0.05,38.774995104788374
8,0.05,45.44818896664282
9,0.05,49.30870976042927
10,0.05,48.31220963381388
11,0.05,50.427677439230926
12,0.05,51.18400762876681
13,0.05,49.95127063126347
14,0.05,48.22122699925092
15,0.05,48.38340216349862
16,0.05,49.17299153942033
17,0.05,51.176211613914184
18,0.05,55.03426544943987
19,0.05,49.73243665457866
20,0.05,56.449799590758154
21,0.05,53.219676709436186
22,0.05,56.07457988976658
23,0.05,53.96443245401481
24,0.05,53.6906804517438
25,0.05,53.13502169752556
26,0.05,53.87951331933877
27,0.05,52.51490337640591
28,0.05,49.536833852844865
29,0.05,53.48182384894176
30,0.05,55.26423352877822
31,0.05,49.601438289892265
32,0.05,51.510643180054075
33,0.05,55.168886852509
34,0.05,54.12789212943335
35,0.05,56.71113183035486
36,0.05,51.78740223988991
37,0.05,54.243178086506326
38,0.05,52.08022248029318
39,0.05,55.96738865364673
40,0.05,55.108943824793
41,0.05,54.26663844372119
42,0.05,53.3870853614726
43,0.05,55.02546732683435
44,0.05,53.7555077406717
45,0.05,55.16665354650434
46,0.05,52.52716211101531
47,0.05,55.30899188062021
48,0.05,52.72239587984008
49,0.05,53.78124568559646
50,0.05,52.57216873261828
51,0.05,54.99333507791749
52,0.05,55.90363599142707
53,0.05,55.61972231791593
54,0.05,53.63814832119269
55,0.05,52.298817315350554
56,0.05,49.258368057844876
57,0.05,54.07680215320879
58,0.05,49.49910916636718
59,0.05,54.909644564356974
60,0.05,56.88850724423008
61,0.05,57.224910355225155
62,0.05,57.20408953121117
63,0.05,53.1463562521983
64,0.05,57.199961531963545
65,0.05,55.54776115879277
66,0.05,48.31673656723244
67,0.05,51.58052997963248
68,0.05,53.59119087108132
69,0.05,55.46692183881143
70,0.05,52.696303092371515
71,0.05,55.967810950566715
72,0.05,52.23220959040571
73,0.05,56.974465571665306
74,0.05,57.704542391342464
75,0.05,57.884752777761804
76,0.05,51.66419170203689
77,0.05,55.85974405663634
78,0.05,54.69106591933783
79,0.05,52.608021445181265
80,0.05,56.1667593134152
81,0.05,56.525072503613536
82,0.05,52.481030338881666
83,0.05,55.60297516399493
84,0.05,53.49513967649467
85,0.05,52.26905408867368
86,0.05,56.28342026551743
87,0.05,55.123362328285786
88,0.05,54.95484729596594
89,0.05,55.553900311920685
90,0.05,49.61259044336678
91,0.05,56.3823239045001
92,0.05,56.4478653102873
93,0.05,51.114634734760784
94,0.05,57.03377247139748
95,0.05,54.1882914500459
96,0.05,54.60779855621244
97,0.05,53.06665842172579
98,0.05,56.13040952054347
99,0.05,55.576048968160805
100,0.05,54.987809686910005
101,0.05,55.983542035756535
102,0.05,55.73079452477087
103,0.05,54.030831645326764
104,0.05,54.54725877478623
105,0.05,55.53523899237033
106,0.05,53.53432802735684
107,0.05,54.09447363222495
108,0.05,52.14693365978701
109,0.05,54.177774781944464
110,0.05,52.51587549543124
111,0.05,54.28254727597745
112,0.05,56.53234089912239
113,0.05,56.507697785905584
114,0.05,55.882689793872416
115,0.05,55.53829234607163
116,0.05,55.84703549793553
